"","pain_fp","pain_eta","phys_fp","phys_eta","neg_fp","neg_eta"
"1",0.00845807359277675,0.114252289409928,5.12916912520796e-24,0.68538194039918,5.54017789407789e-31,0.632404520605155
"2",0.199715678888783,0.0469965730052262,1.42888327361001e-28,0.747357632183559,1.97280599486316e-29,0.632404520605155
"3",0.00806776855737847,0.115187852056387,1.65138302356438e-24,0.692756647111839,1.52507310757691e-21,0.632404520605155
"4",0.0150898201522767,0.102658468906723,2.6002798335146e-24,0.689823502752421,2.44170830616509e-29,0.632404520605155
"5",0.510269711190325,0.0236722665403695,1.16218854692118e-23,0.679948986950081,5.73105398471143e-32,0.632404520605155
"6",0.339915207410223,0.0341813423990531,2.92607001140081e-21,0.640663575757977,8.11757561309181e-24,0.632404520605155
"7",0.381806539049715,0.031257349361025,7.55838566145203e-27,0.725500461034949,4.71772316688903e-28,0.632404520605155
"8",0.00421930229468424,0.127873317114322,9.42144649776997e-27,0.724232664664496,4.33903472767407e-23,0.632404520605155
"9",0.00111124861652004,0.153176776392139,3.65806389094984e-27,0.729635030222636,3.69697123551885e-26,0.632404520605155
"10",0.039844596554808,0.0826083049833871,5.75098245085901e-30,0.763765807477631,5.31024192112841e-17,0.632404520605155
"11",0.119564843686332,0.0587438139449302,2.83735168439191e-29,0.75575242061149,2.30069847708002e-30,0.632404520605155
"12",0.59579239774398,0.0193839044804825,7.96172543520297e-29,0.750427522865268,5.91191417165303e-23,0.632404520605155
"13",0.787952230210076,0.0108731624632572,1.58538726070641e-23,0.677861776073431,1.39491384571734e-20,0.632404520605155
"14",0.119491938932096,0.058757505186096,5.10862937823397e-29,0.752731637989618,6.59467730654047e-26,0.632404520605155
"15",0.0782114917881804,0.0681395847463728,2.00229842332652e-25,0.706025840737974,1.00918946642836e-26,0.632404520605155
"16",0.0287302698640599,0.0894543411784616,1.97904501508349e-30,0.768973911155024,8.81270974764596e-27,0.632404520605155
"17",0.300155717596401,0.0372545254839746,3.65417479758125e-21,0.638986669071621,2.37490287994106e-21,0.632404520605155
"18",0.121907162786382,0.0583080142927345,1.33690077575319e-26,0.722206919502951,3.95419257789697e-24,0.632404520605155
"19",0.411781006741651,0.0293243562094534,1.01264287206674e-24,0.695884972236433,1.20211213632936e-30,0.632404520605155
"20",0.0335424378156964,0.0862251652030614,3.00596176120791e-20,0.622685956409662,1.26888597284115e-23,0.632404520605155
"21",0.0897682279190354,0.0651163651322445,2.01459583216086e-23,0.676241989127833,4.38355822724191e-24,0.632404520605155
"22",0.00400418964910445,0.128885587215382,5.35965894987296e-27,0.727466767561409,9.49594737738908e-20,0.632404520605155
"23",0.0484633804429933,0.0784587877734601,9.53418303711213e-26,0.710553958521942,7.47712836312135e-21,0.632404520605155
"24",0.951566210345444,0.00355773667010599,1.26494581017913e-25,0.708836895587995,6.47475269091065e-19,0.632404520605155
"25",0.466576089767747,0.0260652941450454,1.5168564820029e-23,0.678159627887252,5.49208589741441e-21,0.632404520605155
"26",0.00538969871521679,0.123114433610627,7.97711975880853e-26,0.711631595599024,7.62669624458985e-24,0.632404520605155
"27",0.00512250417786158,0.124105945427241,4.81946874635855e-27,0.728071577105295,7.82187157561931e-19,0.632404520605155
